BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R1    0.100E-02 Td    0.0114 eV                                 
R2    0.0010 Td    0.0115 eV                                    
R3    0.0010 Td    0.0116 eV                                    
R4    0.0010 Td    0.0117 eV                                    
R5    0.0011 Td    0.0118 eV                                    
R6    0.0011 Td    0.0120 eV                                    
R7    0.0011 Td    0.0121 eV                                    
R8    0.0011 Td    0.0122 eV                                    
R9    0.0011 Td    0.0123 eV                                    
R10   0.0011 Td    0.0124 eV                                    
R11   0.0011 Td    0.0126 eV                                    
R12   0.0012 Td    0.0127 eV                                    
R13   0.0012 Td    0.0128 eV                                    
R14   0.0012 Td    0.0130 eV                                    
R15   0.0012 Td    0.0131 eV                                    
R16   0.0012 Td    0.0133 eV                                    
R17   0.0012 Td    0.0134 eV                                    
R18   0.0013 Td    0.0136 eV                                    
R19   0.0013 Td    0.0137 eV                                    
R20   0.0013 Td    0.0139 eV                                    
R21   0.0013 Td    0.0140 eV                                    
R22   0.0013 Td    0.0141 eV                                    
R23   0.0014 Td    0.0143 eV                                    
R24   0.0014 Td    0.0143 eV                                    
R25   0.0014 Td    0.0145 eV                                    
R26   0.0014 Td    0.0147 eV                                    
R27   0.0014 Td    0.0146 eV                                    
R28   0.0015 Td    0.0138 eV                                    
R29   0.0015 Td    0.0141 eV                                    
R30   0.0015 Td    0.0144 eV                                    
R31   0.0015 Td    0.0144 eV                                    
R32   0.0015 Td    0.0140 eV                                    
R33   0.0016 Td    0.0122 eV                                    
R34   0.0016 Td    0.0126 eV                                    
R35   0.0016 Td    0.0122 eV                                    
R36   0.0016 Td    0.0126 eV                                    
R37   0.0016 Td    0.0134 eV                                    
R38   0.0017 Td    0.0124 eV                                    
R39   0.0017 Td    0.0128 eV                                    
R40   0.0017 Td    0.0131 eV                                    
R41   0.0017 Td    0.0141 eV                                    
R42   0.0018 Td    0.0142 eV                                    
R43   0.0018 Td    0.0148 eV                                    
R44   0.0018 Td    0.0155 eV                                    
R45   0.0018 Td    0.0164 eV                                    
R46   0.0019 Td    0.0174 eV                                    
R47   0.0019 Td    0.0192 eV                                    
R48   0.0019 Td    0.0205 eV                                    
R49   0.0019 Td    0.0221 eV                                    
R50   0.0020 Td    0.0240 eV                                    
R51   0.0020 Td    0.0264 eV                                    
R52   0.0020 Td    0.0322 eV                                    
R53   0.0021 Td    0.0358 eV                                    
R54   0.0021 Td    0.0402 eV                                    
R55   0.0021 Td    0.0454 eV                                    
R56   0.0021 Td    0.0515 eV                                    
R57   0.0022 Td    0.0710 eV                                    
R58   0.0022 Td    0.0806 eV                                    
R59   0.0022 Td    0.0918 eV                                    
R60   0.0023 Td    0.104 eV                                     
R61   0.0023 Td    0.119 eV                                     
R62   0.0023 Td    0.135 eV                                     
R63   0.0024 Td    0.187 eV                                     
R64   0.0024 Td    0.208 eV                                     
R65   0.0024 Td    0.231 eV                                     
R66   0.0025 Td    0.255 eV                                     
R67   0.0025 Td    0.280 eV                                     
R68   0.0025 Td    0.306 eV                                     
R69   0.0026 Td    0.381 eV                                     
R70   0.0026 Td    0.409 eV                                     
R71   0.0026 Td    0.437 eV                                     
R72   0.0027 Td    0.465 eV                                     
R73   0.0027 Td    0.494 eV                                     
R74   0.0027 Td    0.523 eV                                     
R75   0.0028 Td    0.552 eV                                     
R76   0.0028 Td    0.582 eV                                     
R77   0.0029 Td    0.611 eV                                     
R78   0.0029 Td    0.672 eV                                     
R79   0.0029 Td    0.700 eV                                     
R80   0.0030 Td    0.728 eV                                     
R81   0.0030 Td    0.757 eV                                     
R82   0.0031 Td    0.785 eV                                     
R83   0.0031 Td    0.814 eV                                     
R84   0.0032 Td    0.842 eV                                     
R85   0.0032 Td    0.871 eV                                     
R86   0.0032 Td    0.900 eV                                     
R87   0.0033 Td    0.940 eV                                     
R88   0.0033 Td    0.968 eV                                     
R89   0.0034 Td    0.997 eV                                     
R90   0.0034 Td    1.03 eV                                      
R91   0.0035 Td    1.06 eV                                      
R92   0.0035 Td    1.08 eV                                      
R93   0.0036 Td    1.11 eV                                      
R94   0.0036 Td    1.14 eV                                      
R95   0.0037 Td    1.17 eV                                      
R96   0.0037 Td    1.21 eV                                      
R97   0.0038 Td    1.24 eV                                      
R98   0.0038 Td    1.27 eV                                      
R99   0.0039 Td    1.30 eV                                      
R100  0.0039 Td    1.33 eV                                      
R101  0.0040 Td    1.36 eV                                      
R102  0.0040 Td    1.40 eV                                      
R103  0.0041 Td    1.43 eV                                      
R104  0.0042 Td    1.46 eV                                      
R105  0.0042 Td    1.50 eV                                      
R106  0.0043 Td    1.53 eV                                      
R107  0.0043 Td    1.56 eV                                      
R108  0.0044 Td    1.60 eV                                      
R109  0.0045 Td    1.63 eV                                      
R110  0.0045 Td    1.67 eV                                      
R111  0.0046 Td    1.70 eV                                      
R112  0.0046 Td    1.74 eV                                      
R113  0.0047 Td    1.78 eV                                      
R114  0.0048 Td    1.81 eV                                      
R115  0.0048 Td    1.85 eV                                      
R116  0.0049 Td    1.89 eV                                      
R117  0.0050 Td    1.93 eV                                      
R118  0.0050 Td    1.97 eV                                      
R119  0.0051 Td    2.01 eV                                      
R120  0.0052 Td    2.05 eV                                      
R121  0.0053 Td    2.09 eV                                      
R122  0.0053 Td    2.13 eV                                      
R123  0.0054 Td    2.17 eV                                      
R124  0.0055 Td    2.21 eV                                      
R125  0.0056 Td    2.25 eV                                      
R126  0.0056 Td    2.29 eV                                      
R127  0.0057 Td    2.33 eV                                      
R128  0.0058 Td    2.38 eV                                      
R129  0.0059 Td    2.42 eV                                      
R130  0.0060 Td    2.46 eV                                      
R131  0.0060 Td    2.51 eV                                      
R132  0.0061 Td    2.55 eV                                      
R133  0.0062 Td    2.60 eV                                      
R134  0.0063 Td    2.64 eV                                      
R135  0.0064 Td    2.69 eV                                      
R136  0.0065 Td    2.73 eV                                      
R137  0.0066 Td    2.78 eV                                      
R138  0.0067 Td    2.83 eV                                      
R139  0.0067 Td    2.88 eV                                      
R140  0.0068 Td    2.92 eV                                      
R141  0.0069 Td    2.97 eV                                      
R142  0.0070 Td    3.02 eV                                      
R143  0.0071 Td    3.07 eV                                      
R144  0.0072 Td    3.12 eV                                      
R145  0.0073 Td    3.17 eV                                      
R146  0.0074 Td    3.22 eV                                      
R147  0.0075 Td    3.27 eV                                      
R148  0.0076 Td    3.32 eV                                      
R149  0.0077 Td    3.37 eV                                      
R150  0.0079 Td    3.42 eV                                      
R151  0.0080 Td    3.47 eV                                      
R152  0.0081 Td    3.52 eV                                      
R153  0.0082 Td    3.57 eV                                      
R154  0.0083 Td    3.62 eV                                      
R155  0.0084 Td    3.68 eV                                      
R156  0.0085 Td    3.73 eV                                      
R157  0.0086 Td    3.78 eV                                      
R158  0.0088 Td    3.84 eV                                      
R159  0.0089 Td    3.89 eV                                      
R160  0.0090 Td    3.94 eV                                      
R161  0.0091 Td    4.00 eV                                      
R162  0.0093 Td    4.05 eV                                      
R163  0.0094 Td    4.11 eV                                      
R164  0.0095 Td    4.16 eV                                      
R165  0.0097 Td    4.22 eV                                      
R166  0.0098 Td    4.27 eV                                      
R167  0.0099 Td    4.33 eV                                      
R168  0.0101 Td    4.38 eV                                      
R169  0.0102 Td    4.44 eV                                      
R170  0.0104 Td    4.49 eV                                      
R171  0.0105 Td    4.55 eV                                      
R172  0.0106 Td    4.61 eV                                      
R173  0.0108 Td    4.66 eV                                      
R174  0.0109 Td    4.72 eV                                      
R175  0.0111 Td    4.78 eV                                      
R176  0.0112 Td    4.83 eV                                      
R177  0.0114 Td    4.89 eV                                      
R178  0.0116 Td    4.95 eV                                      
R179  0.0117 Td    5.01 eV                                      
R180  0.0119 Td    5.06 eV                                      
R181  0.0121 Td    5.12 eV                                      
R182  0.0122 Td    5.18 eV                                      
R183  0.0124 Td    5.24 eV                                      
R184  0.0126 Td    5.30 eV                                      
R185  0.0127 Td    5.35 eV                                      
R186  0.0129 Td    5.41 eV                                      
R187  0.0131 Td    5.47 eV                                      
R188  0.0133 Td    5.53 eV                                      
R189  0.0135 Td    5.59 eV                                      
R190  0.0137 Td    5.65 eV                                      
R191  0.0138 Td    5.71 eV                                      
R192  0.0140 Td    5.77 eV                                      
R193  0.0142 Td    5.83 eV                                      
R194  0.0144 Td    5.89 eV                                      
R195  0.0146 Td    5.95 eV                                      
R196  0.0148 Td    6.01 eV                                      
R197  0.0150 Td    6.07 eV                                      
R198  0.0152 Td    6.13 eV                                      
R199  0.0155 Td    6.19 eV                                      
R200  0.0157 Td    6.25 eV                                      
R201  0.0159 Td    6.31 eV                                      
R202  0.0161 Td    6.37 eV                                      
R203  0.0163 Td    6.43 eV                                      
R204  0.0166 Td    6.49 eV                                      
R205  0.0168 Td    6.55 eV                                      
R206  0.0170 Td    6.61 eV                                      
R207  0.0173 Td    6.67 eV                                      
R208  0.0175 Td    6.74 eV                                      
R209  0.0178 Td    6.80 eV                                      
R210  0.0180 Td    6.86 eV                                      
R211  0.0182 Td    6.92 eV                                      
R212  0.0185 Td    6.98 eV                                      
R213  0.0188 Td    7.04 eV                                      
R214  0.0190 Td    7.11 eV                                      
R215  0.0193 Td    7.17 eV                                      
R216  0.0196 Td    7.23 eV                                      
R217  0.0198 Td    7.29 eV                                      
R218  0.0201 Td    7.35 eV                                      
R219  0.0204 Td    7.42 eV                                      
R220  0.0207 Td    7.48 eV                                      
R221  0.0210 Td    7.54 eV                                      
R222  0.0212 Td    7.60 eV                                      
