BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R1    0.100E-02 Td    0.0464 eV                                 
R2    0.0010 Td    0.0469 eV                                    
R3    0.0010 Td    0.0475 eV                                    
R4    0.0010 Td    0.0480 eV                                    
R5    0.0010 Td    0.0486 eV                                    
R6    0.0011 Td    0.0491 eV                                    
R7    0.0011 Td    0.0497 eV                                    
R8    0.0011 Td    0.0503 eV                                    
R9    0.0011 Td    0.0509 eV                                    
R10   0.0011 Td    0.0515 eV                                    
R11   0.0011 Td    0.0521 eV                                    
R12   0.0011 Td    0.0527 eV                                    
R13   0.0011 Td    0.0533 eV                                    
R14   0.0012 Td    0.0539 eV                                    
R15   0.0012 Td    0.0545 eV                                    
R16   0.0012 Td    0.0552 eV                                    
R17   0.0012 Td    0.0558 eV                                    
R18   0.0012 Td    0.0565 eV                                    
R19   0.0012 Td    0.0571 eV                                    
R20   0.0012 Td    0.0578 eV                                    
R21   0.0013 Td    0.0585 eV                                    
R22   0.0013 Td    0.0592 eV                                    
R23   0.0013 Td    0.0598 eV                                    
R24   0.0013 Td    0.0605 eV                                    
R25   0.0013 Td    0.0612 eV                                    
R26   0.0013 Td    0.0620 eV                                    
R27   0.0013 Td    0.0627 eV                                    
R28   0.0014 Td    0.0634 eV                                    
R29   0.0014 Td    0.0642 eV                                    
R30   0.0014 Td    0.0649 eV                                    
R31   0.0014 Td    0.0657 eV                                    
R32   0.0014 Td    0.0664 eV                                    
R33   0.0014 Td    0.0672 eV                                    
R34   0.0015 Td    0.0680 eV                                    
R35   0.0015 Td    0.0688 eV                                    
R36   0.0015 Td    0.0696 eV                                    
R37   0.0015 Td    0.0704 eV                                    
R38   0.0015 Td    0.0712 eV                                    
R39   0.0015 Td    0.0721 eV                                    
R40   0.0016 Td    0.0729 eV                                    
R41   0.0016 Td    0.0737 eV                                    
R42   0.0016 Td    0.0746 eV                                    
R43   0.0016 Td    0.0755 eV                                    
R44   0.0016 Td    0.0764 eV                                    
R45   0.0017 Td    0.0773 eV                                    
R46   0.0017 Td    0.0782 eV                                    
R47   0.0017 Td    0.0791 eV                                    
R48   0.0017 Td    0.0800 eV                                    
R49   0.0017 Td    0.0809 eV                                    
R50   0.0018 Td    0.0819 eV                                    
R51   0.0018 Td    0.0828 eV                                    
R52   0.0018 Td    0.0838 eV                                    
R53   0.0018 Td    0.0848 eV                                    
R54   0.0018 Td    0.0858 eV                                    
R55   0.0019 Td    0.0868 eV                                    
R56   0.0019 Td    0.0878 eV                                    
R57   0.0019 Td    0.0888 eV                                    
R58   0.0019 Td    0.0899 eV                                    
R59   0.0020 Td    0.0909 eV                                    
R60   0.0020 Td    0.0920 eV                                    
R61   0.0020 Td    0.0931 eV                                    
R62   0.0020 Td    0.0941 eV                                    
R63   0.0020 Td    0.0952 eV                                    
R64   0.0021 Td    0.0964 eV                                    
R65   0.0021 Td    0.0975 eV                                    
R66   0.0021 Td    0.0986 eV                                    
R67   0.0021 Td    0.0998 eV                                    
R68   0.0022 Td    0.101 eV                                     
R69   0.0022 Td    0.102 eV                                     
R70   0.0022 Td    0.103 eV                                     
R71   0.0022 Td    0.105 eV                                     
R72   0.0023 Td    0.106 eV                                     
R73   0.0023 Td    0.107 eV                                     
R74   0.0023 Td    0.108 eV                                     
R75   0.0023 Td    0.110 eV                                     
R76   0.0024 Td    0.111 eV                                     
R77   0.0024 Td    0.112 eV                                     
R78   0.0024 Td    0.113 eV                                     
R79   0.0025 Td    0.115 eV                                     
R80   0.0025 Td    0.116 eV                                     
R81   0.0025 Td    0.117 eV                                     
R82   0.0025 Td    0.119 eV                                     
R83   0.0026 Td    0.120 eV                                     
R84   0.0026 Td    0.122 eV                                     
R85   0.0026 Td    0.123 eV                                     
R86   0.0027 Td    0.125 eV                                     
R87   0.0027 Td    0.126 eV                                     
R88   0.0027 Td    0.127 eV                                     
R89   0.0028 Td    0.129 eV                                     
R90   0.0028 Td    0.130 eV                                     
R91   0.0028 Td    0.132 eV                                     
R92   0.0029 Td    0.134 eV                                     
R93   0.0029 Td    0.135 eV                                     
R94   0.0029 Td    0.137 eV                                     
R95   0.0030 Td    0.138 eV                                     
R96   0.0030 Td    0.140 eV                                     
R97   0.0030 Td    0.142 eV                                     
R98   0.0031 Td    0.143 eV                                     
R99   0.0031 Td    0.145 eV                                     
R100  0.0031 Td    0.147 eV                                     
R101  0.0032 Td    0.148 eV                                     
R102  0.0032 Td    0.150 eV                                     
R103  0.0032 Td    0.152 eV                                     
R104  0.0033 Td    0.154 eV                                     
R105  0.0033 Td    0.156 eV                                     
R106  0.0034 Td    0.157 eV                                     
R107  0.0034 Td    0.159 eV                                     
R108  0.0034 Td    0.161 eV                                     
R109  0.0035 Td    0.163 eV                                     
R110  0.0035 Td    0.165 eV                                     
R111  0.0036 Td    0.167 eV                                     
R112  0.0036 Td    0.169 eV                                     
R113  0.0036 Td    0.171 eV                                     
R114  0.0037 Td    0.173 eV                                     
R115  0.0037 Td    0.175 eV                                     
R116  0.0038 Td    0.177 eV                                     
R117  0.0038 Td    0.179 eV                                     
R118  0.0039 Td    0.181 eV                                     
R119  0.0039 Td    0.183 eV                                     
R120  0.0039 Td    0.185 eV                                     
R121  0.0040 Td    0.188 eV                                     
R122  0.0040 Td    0.190 eV                                     
R123  0.0041 Td    0.192 eV                                     
R124  0.0041 Td    0.194 eV                                     
R125  0.0042 Td    0.197 eV                                     
R126  0.0042 Td    0.199 eV                                     
R127  0.0043 Td    0.201 eV                                     
R128  0.0043 Td    0.204 eV                                     
R129  0.0044 Td    0.206 eV                                     
R130  0.0044 Td    0.209 eV                                     
R131  0.0045 Td    0.211 eV                                     
R132  0.0045 Td    0.214 eV                                     
R133  0.0046 Td    0.216 eV                                     
R134  0.0046 Td    0.219 eV                                     
R135  0.0047 Td    0.221 eV                                     
R136  0.0047 Td    0.224 eV                                     
R137  0.0048 Td    0.227 eV                                     
R138  0.0048 Td    0.229 eV                                     
R139  0.0049 Td    0.232 eV                                     
R140  0.0050 Td    0.235 eV                                     
R141  0.0050 Td    0.238 eV                                     
R142  0.0051 Td    0.240 eV                                     
R143  0.0051 Td    0.243 eV                                     
R144  0.0052 Td    0.246 eV                                     
R145  0.0053 Td    0.249 eV                                     
R146  0.0053 Td    0.252 eV                                     
R147  0.0054 Td    0.255 eV                                     
R148  0.0054 Td    0.258 eV                                     
R149  0.0055 Td    0.261 eV                                     
R150  0.0056 Td    0.264 eV                                     
R151  0.0056 Td    0.267 eV                                     
R152  0.0057 Td    0.271 eV                                     
R153  0.0058 Td    0.274 eV                                     
R154  0.0058 Td    0.277 eV                                     
R155  0.0059 Td    0.280 eV                                     
R156  0.0060 Td    0.284 eV                                     
R157  0.0060 Td    0.287 eV                                     
